2016-12-07 17:30:18.747410||meta||agents||4
2016-12-07 17:30:18.747444||meta||treatnames||control ()@|experimental (politics)
2016-12-07 17:30:18.747550||meta||block_id start||0
2016-12-07 17:30:18.747562||meta||assignment||2@|1@|0@|3
2016-12-07 17:30:20.537425||event||progress-marker||training-start||0||1
2016-12-07 17:30:20.591077||event||progress-marker||training-start||2||0
2016-12-07 17:30:20.591158||event||progress-marker||training-end||2||0
2016-12-07 17:30:20.752060||event||progress-marker||training-start||1||0
2016-12-07 17:30:20.752142||event||progress-marker||training-end||1||0
2016-12-07 17:30:20.783073||event||progress-marker||training-start||3||1
2016-12-07 17:30:34.490660||treatment||visit website||http://fairvote.org||3||1
2016-12-07 17:30:41.248184||treatment||visit website||http://fairvote.org||0||1
2016-12-07 17:30:42.310661||treatment||visit website||http://aceproject.org||3||1
2016-12-07 17:30:49.133118||treatment||visit website||http://aceproject.org||0||1
2016-12-07 17:30:50.686718||treatment||visit website||http://votenet.com||3||1
2016-12-07 17:30:59.069261||treatment||visit website||http://votenet.com||0||1
2016-12-07 17:31:03.082645||treatment||visit website||http://blackboxvoting.org||3||1
2016-12-07 17:31:09.934638||treatment||visit website||http://blackboxvoting.org||0||1
2016-12-07 17:31:11.847992||treatment||visit website||http://aristotle.com||3||1
2016-12-07 17:31:18.490651||treatment||visit website||http://aristotle.com||0||1
2016-12-07 17:31:26.134640||treatment||visit website||http://ifes.org||3||1
2016-12-07 17:31:31.964853||treatment||visit website||http://ifes.org||0||1
2016-12-07 17:31:33.762643||treatment||visit website||http://completecampaigns.com||3||1
2016-12-07 17:31:39.563171||treatment||visit website||http://completecampaigns.com||0||1
2016-12-07 17:31:47.086476||treatment||visit website||http://bluestatedigital.com||3||1
2016-12-07 17:31:52.161150||treatment||visit website||http://bluestatedigital.com||0||1
2016-12-07 17:32:10.634473||treatment||visit website||http://electoral-reform.org.uk||3||1
2016-12-07 17:32:15.706810||treatment||visit website||http://electoral-reform.org.uk||0||1
2016-12-07 17:32:17.126684||treatment||visit website||http://fidlar.com||3||1
2016-12-07 17:32:22.134718||treatment||visit website||http://fidlar.com||0||1
2016-12-07 17:32:28.348240||treatment||visit website||http://campaignsandelections.com||3||1
2016-12-07 17:32:34.378702||treatment||visit website||http://campaignsandelections.com||0||1
2016-12-07 17:32:38.429711||treatment||visit website||http://electionguide.org||3||1
2016-12-07 17:32:42.768251||treatment||visit website||http://electionguide.org||0||1
2016-12-07 17:32:47.946673||treatment||visit website||http://e-democracy.org||3||1
2016-12-07 17:32:50.798646||treatment||visit website||http://e-democracy.org||0||1
2016-12-07 17:32:55.795839||treatment||visit website||http://onlinecandidate.com||3||1
2016-12-07 17:32:59.030843||treatment||visit website||http://onlinecandidate.com||0||1
2016-12-07 17:33:05.006657||treatment||visit website||http://robodial.org||3||1
2016-12-07 17:33:05.006721||event||progress-marker||training-end||3||1
2016-12-07 17:33:07.276311||treatment||visit website||http://robodial.org||0||1
2016-12-07 17:33:07.276378||event||progress-marker||training-end||0||1
2016-12-07 17:33:10.012205||event||progress-marker||measurement-start||3||1
2016-12-07 17:33:10.718840||event||progress-marker||measurement-start||2||0
2016-12-07 17:33:10.879560||event||progress-marker||measurement-start||1||0
